start	end	text
0	11880	okay we're just going to get this all out of the way just in case we do take
11880	17640	your case but I'm just not sure about taking your place because we can
17640	24380	discuss why in a second today is 1 2 18
24940	30880	that's what happened on January 1 1 1 wow how bring in the new year that's not
30880	36580	good I know I said a red light waiting to turn to the furthest onto the furthest
36580	47940	left lane okay so you're not in the inner lane or in the outer lane outer
47940	62320	left lane and you're stuck okay but you're in the turn lane okay and then
62320	65640	there was another car coming so you are showing me from let me show you if
65640	73100	you're the white car you're waiting I see this black car and the black
73100	76280	car is coming and I'm looking at it and I'm thinking oh my god he's really
76280	81160	going to pass even though traffic going through and as he was going through it
81160	85920	was clear up until a car came and they hit the car went that way and it's
86480	93680	me okay so it's that black car okay got it
99520	105020	Yukon so there's five cars right yeah there's a Yukon right next to me
105020	117320	okay okay and the car behind me so let's look we're more cars okay so then this
117320	126620	is the car that's coming this way yeah okay so there's a car behind me
126620	131900	they Yukon work on the side of me so this guy hits and then they ricochet like
131900	136820	that you and this guy yes which is right in the middle and then it felt his
136820	140860	back kind of like this at an angle so it's wedged in between this like that
140860	156000	okay got it I have gotten it I understand you're in the furthest you're in the
156000	159860	inner lane where there's a car next to you or no there was no car next to me but
159860	164580	there was a lane next to you though there is there's an empty lane nobody was here okay got it
164580	174380	I was here there was nobody right there in which street is it that you're on
174380	180660	I'm not really watching the streets was Washington Washington and your head
180660	185780	towards sunrise mountain or red rock sunrise mountain okay Washington
187780	189780	Washington
197220	200660	and there's that guy the Yukon was in a straight lane right yes
200660	213980	the car is that green one do you remember um it was a green one I'm not sure if it was
213980	221660	like a corona or a Toyota it was smashed as well I couldn't really tell and the one
221660	226180	that ran the red light was the black car I don't even know what car that was as
227140	234660	but everyone knows it says fault right everyone says it was this guy's fault right yeah okay
236100	240660	because it was evading police evading police yeah
245700	247380	that didn't work out no
257140	262260	did you get any other insult from the black car um the only thing that I figured out was that it
262260	270980	was a lift driver who um I guess it was a rental from lift or something and um they're maybe
270980	277140	mistaken the hospital and it's jail she was driving for a lift was the app on
277540	282900	I have no idea the only thing that this only was that it was a bit
282900	287860	driver but they say it was a rental it was a rental that the insurance company
287860	291860	supposed to be for all the damages or whatever she was
294340	298580	when I insurance you know that's what the police do
347860	357860	okay
357860	363480	You still have, she took it.
363480	375140	Is your Easter and was the cross street?
375140	379380	Yes, Easter and was…
379380	384380	You're an Eastern was the cross street?
384380	385380	You did.
385380	387380	Eastern was.
387380	392380	Okay, let me picture.
392380	395380	Okay, so...
395380	403380	Um...
403380	406380	We're going to need your insurance declaration page.
406380	408380	Do you have pictures of accident?
408380	413380	Okay.
413380	418380	I know where it's located.
418380	426380	And make me a case monitor.
426380	428380	Okay, so...
428380	429380	You do have pictures you said?
429380	430380	Yes.
430380	431380	Okay, good.
431380	433380	Don't worry about it right now.
433380	434380	Okay.
434380	436380	No, no, no, we're good.
436380	437380	Um...
437380	438380	Um, I didn't.
438380	439380	No hospital bill.
439380	440380	Okay.
440380	443380	No worries.
443380	447380	I didn't feel hurt enough to go to the hospital.
447380	449380	Surprised at that all the time.
449380	450380	Where's the car now?
450380	452380	Um, the car is in the tollot.
452380	455380	I gave that information as well on the vehicle.
455380	457380	I don't have the car.
457380	460380	Um, there was a gentleman who referred me to this place.
460380	462380	Okay, we do need your VIN number.
462380	463380	Is this it?
463380	464380	Yes.
464380	465380	The Honda Accord.
465380	466380	Number?
466380	467380	Okay.
467380	469380	And where's the tow yard?
469380	472380	It is right here, 22 and 1 North Congress.
472380	473380	Surprised.
504380	509380	Yeah, it comes when you sign up for it or when you...
509380	510380	It's okay.
510380	512380	When you file the report.
512380	514380	Is there any way you can take a picture of that?
514380	515380	Yeah, yeah.
515380	516380	Take a picture of it.
516380	518380	Ensure what it looks like.
533380	535380	Okay.
564380	566380	You know that stuff though.
566380	568380	And ask them to call you and brothers.
568380	569380	Thanks.
569380	570380	Okay.
570380	571380	Okay.
571380	573380	Getting the information here.
573380	576380	Do you think the car is going to be totaled or do you think it is?
576380	579380	Yeah, they told me what the engine was on.
579380	582380	The police and the transmission zone.
582380	584380	And the back was smashed as well.
584380	586380	Because it kind of bounced back.
586380	589380	And it hit the car and back up me.
589380	591380	What is trash too?
591380	594380	The back of the trunk of the car.
594380	597380	It was also smashed in.
597380	598380	What?
598380	600380	It was going on in this guy's head.
600380	601380	Girl.
601380	602380	Yeah.
602380	603380	Girl's head.
603380	604380	Yeah.
604380	605380	I couldn't believe it.
605380	606380	I thought it was a dude.
606380	607380	I was like, what's going on?
607380	608380	I felt my first initial thought.
608380	611380	I was like, I thought it was a dude.
622380	623380	Okay.
636380	637380	Okay.
637380	642380	So how many people were in your vehicle?
642380	644380	Me and my baby.
644380	646380	You and your baby.
646380	647380	Baby seems okay, right?
648380	649380	Yeah.
649380	651380	Mostly that night was like a really rough night.
651380	653380	He like would not speak at all.
653380	655380	He was screaming the whole entire night.
655380	658380	And I'm pretty sure it's from the same scare.
658380	660380	He does have like these marks right here, of course,
660380	661380	from the seatbelt.
661380	663380	And they're like all around his neck.
663380	665380	There really little blood.
665380	668380	I'm not sure what they're called.
668380	670380	Like laceration marks?
670380	671380	Yeah.
671380	672380	Okay.
672380	674380	If you want to take him to be seen, there is a place.
674380	676380	And I'll give you that info.
676380	677380	Okay.
677380	679380	It's a green valley, something,
679380	681380	unless you have a pediatrician, you know,
681380	682380	that you can get him seen it.
682380	685380	My pediatrician, I can get him seen there,
685380	687380	but if you'd better recommend it.
687380	688380	Okay.
688380	689380	Well, it doesn't matter.
689380	690380	Whichever one can get you in sooner.
690380	691380	Okay.
691380	692380	I'm sure they can get you in sooner,
692380	694380	but wherever, you know.
694380	695380	Okay.
695380	700380	So let's talk about babies.
700380	703380	Miners.
703380	708380	Let's talk about people and vehicles,
708380	711380	and claimants,
711380	715380	and let's talk about, uh,
715380	716380	lift.
716380	718380	Let's talk about the toe.
718380	720380	So I'm going to write down my notes here.
720380	721380	I bring things like this.
721380	722380	It's awesome.
722380	723380	You have to write down.
