start	end	text
0	3640	That's really good insurance by the way.
3640	4640	Oh, thanks.
4640	5640	Oh, well mine.
5640	6640	Oh.
6640	8640	I don't know what yours is yet.
8640	12960	I don't know what yours is.
12960	14960	So you need a page like this.
14960	15960	Yes.
15960	17960	Because I'm going to see the coverages.
17960	18960	Okay.
18960	19960	So.
19960	20960	Okay.
20960	21960	Let me see.
21960	27320	And also, because I wanted to get a checkup, but I was hoping like the other party could
27320	28320	pay for it.
28320	30320	But the issue is, I'm actually leaving on Tuesday.
30320	31320	Where are you going to?
31320	32320	To Utah.
32320	33320	Yeah.
33320	34320	What's for?
34320	39080	Like, it's like a program for active element, like, like, perhaps and stuff.
39080	42320	So that's wondering, like, is there a whole nother conversation?
42320	43320	Yeah.
43320	44320	Is there like enough time to?
44320	45320	Yeah.
45320	46320	So.
46320	47320	Let me think.
47320	50320	Like, I was hoping today, or is it possible?
50320	51320	What are you leaving Tuesday?
51320	52320	Tuesday morning.
52320	53320	Tuesday morning.
53320	54320	Then just go to, um, quick care.
54320	55320	Do you have insurance?
55320	56320	Yeah, I do.
56320	57320	Okay.
57320	58320	Good.
58320	59320	Let me go and copy that too.
59320	60320	Is it okay to use my insurance?
60320	61320	That's okay.
61320	62320	Okay.
62320	63320	That's the best way.
63320	64320	Okay.
64320	65320	Just go to, like, quick care.
65320	66320	Ish.
66320	67320	Um, it really depends.
67320	68320	Yeah.
68320	69320	Quick care is fine.
69320	70320	Yes.
70320	71320	Yes.
71320	72320	Yes.
72320	73320	Karen.
73320	74320	Emma.
74320	75320	Good.
75320	76320	Good.
76320	77320	Good.
77320	78320	Good.
78320	84320	Um, do you need, like, the, do you need a photo of it?
84320	87320	Like, just the information, or do you need, like, the copy?
87320	88320	Yeah.
88320	89320	You can just give me a photo.
89320	90320	Okay.
90320	92320	You can give me a photo of your insurance card that's fine too.
92320	94320	Don't you have my insurance card?
94320	95320	I don't think I do.
95320	96320	I don't think I got that one.
96320	98320	The health insurance one.
98320	99320	Oh, okay.
99320	104320	Have you ever had any prior accidents or no?
104320	106320	Um, a very minor one.
106320	109320	Like, it was just like a little bump in the back.
109320	110320	Like, it was at the red lights.
110320	113320	Nobody ever made a claim or anything or open a claim?
113320	115320	I think I made a claim.
115320	116320	Yeah.
116320	117320	Well, I had their insurance.
117320	119320	When was it?
119320	124320	Oh, this was like, probably going to go over here.
124320	125320	Yeah.
125320	127320	It was just like, we're out of stock.
