start	end	text
0	29940	He said that there was a witness that waited. Yeah, she ran the red light. Yeah, I spoke with an insurance yesterday
29940	37620	and I'm not on my dad's insurance. Okay, so I'm not sure I'm waiting on a call.
37620	48500	What did your dad talk to already? They're gonna tell me who covered you. Did you talk to him already?
48500	58500	Yeah, okay. Did you explain to him why you were driving? Yeah. What was your version that you gave him?
58500	64500	Like, what did you tell him about that? Well, they didn't exactly tell me. I didn't ask you. No, I just told him that I used to work.
64500	78500	Okay, because if you were to send like, oh, it was just a one-time thing that borrowed the car. Okay, then that would've been a little bit better.
78500	88500	I mean, we're basically gonna go off of our state fund. Yeah, we're basically gonna go after his insurance company.
88500	102500	You know, we're gonna make them liable for everything. So that way, you know, all state plays a small role in this.
102500	122500	That way you don't want to be affected with insurance. Okay, so basically, so if he's in English, so basically what I tell him is that we're gonna go against the state fund.
122500	132500	This is the only thing that, the only thing that, the people in the state don't want to get a big part in this.
132500	133500	Okay.
133500	142500	Now, the only thing that we're gonna have to clean up a little bit is that with Luis, I said that he used the car to work.
142500	147500	Okay.
147500	152500	Oh, look, what is this? They did a recorded statement, right?
152500	155500	Yeah, but I'm not sure at all.
155500	163500	Because what I would like for you dad to kind of see if he could do and maybe clean it up.
163500	176500	And then you, and then he clarify, then hopefully you didn't, you know,
177500	181500	so that they don't have a problem.
181500	191500	No, no, no, no, yes, but then Austin will think that they include him to the police and he's gonna go up more.
191500	196500	Yeah, yeah, yeah, yeah, yeah.
221500	227500	Yeah, yeah, yeah.
251500	256500	But if you don't, it's not marvellous.
256500	260500	No, it's not.
272500	277500	No, he was driving his dad's van.
277500	283620	And he has all state and I was asking him what he had said to all state
284580	289700	Because if there's additional coverage or something that way all state might want to help out
291380	294620	So his dad has different shirts. This dad has all state
295140	299620	And but he has all state as well. No, he doesn't have additional coverage, right?
300060	302580	You don't have your other policy more, right?
303140	307500	One other with a vehicle? No, no, no, he just has all state
308780	310940	He's on the all state policy. No, he's not
311700	316180	Do you have other insurance? So let's say I borrowed your car. I have liberty, neutral
316380	321940	But maybe your car has all state. So I've liberty mutual but your car is all state. So do you have any other coverage?
322540	324540	for yourself? No, I
324940	326940	Had just can't really like
327780	331740	Month ago, I still have like the renters, but I don't have a lot of automobile number
332820	334580	I see so he never he has
338780	342940	So there is only one coverage all state there isn't anything on there that
344140	346140	Excludes you from driving right?
347420	349420	Okay, that's good
353580	355900	I guess Ken is Nelson's the adjuster
363580	365580	The adjuster
373980	375980	Don't talk to stay calm
376220	383420	No, I mentioned they wanted me to talk to him like they wanted me to call the insurance, but I guess it was too early
384420	387660	Yeah, though because they're gonna do a recorder stable now
388660	389660	Okay
389660	395780	Which is never in your best interest and since that guy was trying to say that you ran the red light or something
395780	397780	Yeah, yeah, that was very long
397900	399980	So you want to wait until we get the
402540	404540	Good things I had a statement
407340	412420	Was it sliding everything? Do you have the contact information with that witness? Yeah, I have to have your information
413020	415020	I don't have a copy of that statement
415740	419980	But she stayed to the coast she stayed until the cops showed up. Yeah, good
422220	424220	She's actually an insurance agent
439980	441980	Yeah
445020	447020	Well
468060	470060	Yeah, they're like the lady
475020	477340	But how many people were in the other car?
505020	507020	Let's see
531900	533900	Okay
534620	536620	Sounds good. Let's see
550540	555340	There's four people in the other vehicle. Yeah, there's two adults in two menus or
563900	565900	You
571100	575900	I'm sorry, what six and ten you said yeah between six and five two adults two adults
582380	584380	How many people in your car?
589740	591740	Okay
594380	596380	The car's not drivable
602460	604460	You're just like it's just max
607500	609500	I'm not even aware of the door
609500	611500	You're not
621420	623420	Oh
