start	end	text
0	7000	So, tell me a little bit about your accident, John.
7000	10000	I was going on...
10000	18000	I was going on Eastbound in Washington, approaching a pedestrian walk.
18000	20000	But then...
20000	22000	And then what happened?
22000	26000	The person in front of me slammed their brakes and I didn't have enough space,
26000	30000	so I, fortunately, I rear-ended him.
30000	33000	That's basically a car, a car in fire.
33000	35000	We got out of the car.
35000	37000	We got transferred to the hospital.
37000	39000	But I was sighted.
39000	40000	You were sighted?
40000	41000	Yes.
41000	42000	Okay.
42000	43000	But your wife was in the car with you?
43000	44000	The wife.
44000	45000	Your wife, Jane?
45000	46000	Jane Doe here?
46000	47000	Jane was in the car with me.
47000	48000	Yes.
48000	49000	Okay. Sounds great.
49000	50000	Okay.
50000	51000	I get it.
51000	52000	So you stopped for a burning...
52000	55000	You stopped for a car and then you rear-ended that car
55000	58000	because it was stopped and your wife was in the car with you.
58000	60000	Is that how I got the facts?
60000	61000	Okay. Cool.
61000	64000	Well, thank you for filling out this form for me.
64000	68000	So let me go review it to make sure it's legible because, you know,
68000	71000	if a phone number digits off or something or I can't read something here,
71000	73000	I can't email you or call you, right?
73000	74000	Okay.
74000	76000	I totally understand how this happened.
76000	82000	So you were going Eastbound on Washington and you were at Owens or something, right?
82000	83000	Okay.
83000	85000	So you're at that intersection where the crosswalk is.
85000	89000	So I know exactly the cross streets and I know how the accident happened.
89000	90000	Got it.
90000	91000	Okay.
91000	92000	So I understand how the crash happened.
92000	94000	I know where you...
94000	97000	Where the intersection was.
97000	100000	Do you have any prior accidents or anything?
100000	102000	I have an accident.
102000	103000	Yes.
103000	105000	Was it a year ago, five years ago?
105000	106000	Three years ago?
106000	107000	Three years ago.
107000	108000	Okay.
108000	109000	Do you have any work comp claims?
109000	110000	No.
110000	111000	No work comp claims.
111000	112000	Okay.
112000	116000	I see on here you have some prior criminal history.
116000	117000	Like a robbery?
117000	118000	Okay.
118000	119000	Got it.
119000	120000	How many people were in your car?
120000	122000	Just my wife and you.
122000	123000	Just your wife and you.
123000	124000	And how many people were in the other car?
124000	125000	Three people.
125000	126000	Three people.
126000	127000	Three people.
127000	129000	What were the age of those people?
129000	133000	It was an adult and two minors.
133000	134000	Two minors?
134000	135000	How old were the minors?
135000	136000	I don't know.
136000	137000	16 and 10?
137000	138000	Yes.
138000	139000	Yes.
139000	140000	16 and 10.
140000	141000	Okay.
141000	143000	There's five people in this accident.
143000	144000	Got it.
144000	145000	Okay.
145000	148000	And was it just a regular vehicle?
148000	149000	Well, I guess it doesn't matter.
149000	151000	You weren't driving for Uber or Lyft.
151000	152000	You were just driving your wife around.
152000	153000	Got it.
153000	154000	Okay.
154000	155000	I see that you got ticketed.
155000	158000	You got ticketed for failure following too closely.
158000	160000	And I see that police report.
160000	161000	TAR.
